Lewis,Lewis University
Notre Dame (OH),Notre Dame College (Ohio)
Nova Southeastern,Nova Southeastern University
Nyack,Nyack College
New-York-Inst,New York Institute of Technology
Oakland,Oakland University
Oakland City,Oakland City University
Oberlin,Oberlin College
Occidental,Occidental College
Oglethorpe,Oglethorpe University
Ohio,Ohio University
Ohio Dominican,Ohio Dominican University
Ohio Northern,Ohio Northern University
Ohio St.,The Ohio State University
Ohio Valley,Ohio Valley University
Ohio Wesleyan,Ohio Wesleyan University
Oklahoma Baptist University,Oklahoma Baptist University
Oklahoma Christian,Oklahoma Christian University
Oklahoma Panhandle,Oklahoma Panhandle State Univ.
Oklahoma,University of Oklahoma
Oklahoma St.,Oklahoma State University
Old Dominion,Old Dominion University
Suny-Old-Westbury,SUNY, Old Westbury
Mississippi,University of Mississippi
Olivet,Olivet College
SUNY Oneonta,SUNY Oneonta
Oral Roberts,Oral Roberts University
Oregon,University of Oregon
Oregon State,Oregon State University
Suny-Oswego,SUNY, Oswego
Otterbein,Otterbein University
Ouachita Baptist,Ouachita Baptist University
Ozarks (AR),University of the Ozarks
Pace,Pace University
Pacific,University of the Pacific
Pacific Lutheran,Pacific Lutheran University
Pacific (OR),Pacific University
Paine,Paine College
Palm Beach Atl.,Palm Beach Atlantic University
Penn,University of Pennsylvania
Penn State,Penn State University
Penn St.-Abington,Penn State Abington
Penn St.-Altoona,Penn State Altoona
Penn St.-Behrend,Penn State Behrend
Penn St.-Berks,Penn State Berks College
Penn St. Brandywine,Pennsylvania State University Brandywine
Penn St.-Harrisburg,Penn State Harrisburg

