Date,Time,Away Team,Home Team,Channel
11/18/2025,7:00 PM,Temple,Richmond,ESPN+
11/18/2025,7:00 PM,Duquesne,Robert Morris,ESPN+
11/18/2025,7:00 PM,Colgate,Cornell,ESPN+
11/18/2025,7:00 PM,Norfolk State,Pennsylvania,ESPN+
11/18/2025,7:00 PM,UMass Lowell,UMass,ESPN+
11/18/2025,7:00 PM,SE Louisiana,Southern Miss,ESPN+
11/18/2025,7:30 PM,West Chester,La Salle,ESPN+
11/18/2025,8:00 PM,Binghamton,Michigan,B1G+
11/18/2025,8:00 PM,Sacred Heart,Georgetown,ESPN+
11/18/2025,8:00 PM,Purdue,Kentucky,SEC Network
11/18/2025,8:00 PM,LeTourneau,Houston Christian,ESPN+
11/18/2025,8:00 PM,Illinois State,Loyola Chicago,ESPN+
11/18/2025,8:00 PM,SEMO,Wichita State,ESPN+
11/18/2025,8:30 PM,Troy,Kansas State,ESPN+
11/18/2025,8:30 PM,Georgia Southern,Missouri State,ESPN+
11/18/2025,8:30 PM,Southern Illinois,Missouri,SECN+
11/18/2025,9:00 PM,Eastern Kentucky,North Dakota,Midco Sports
11/18/2025,9:00 PM,Ole Miss,Memphis,ESPN+
11/18/2025,9:30 PM,Benedictine,Southern Utah,ESPN+
11/18/2025,10:00 PM,SMU,Grand Canyon,ESPN+
11/18/2025,10:00 PM,Westcliff,Loyola Marymount,ESPN+
11/18/2025,10:00 PM,Boise State,Colorado,ESPN+
11/18/2025,11:00 PM,Portland,USC,B1G+
11/19/2025,12:00 PM,Indiana State,SIU Edwardsville,ESPN+
11/19/2025,12:00 PM,Toledo,Northern Kentucky,ESPN+
11/19/2025,12:00 PM,Bellarmine,Wright State,ESPN+
11/19/2025,1:00 PM,Abilene Christian,North Texas,ESPN+
11/19/2025,5:00 PM,Bryant,Merrimack,ESPN+
11/19/2025,6:00 PM,UNC Asheville,Western Carolina,ESPN+
11/19/2025,7:00 PM,Harvard,Boston College,ACCNX
11/19/2025,7:00 PM,Coastal Carolina,NC State,ACC Network
11/19/2025,7:00 PM,Holy Cross,Rhode Island,ESPN+
11/19/2025,7:00 PM,Saint Peter's,NJIT,ESPN+
11/19/2025,7:00 PM,Drexel,Lehigh,ESPN+
11/19/2025,7:00 PM,Buffalo,St. Bonaventure,ESPN+
11/19/2025,7:00 PM,Lipscomb,Belmont,ESPN+
11/19/2025,7:30 PM,Kent State,Ohio State,B1G+
11/19/2025,8:00 PM,Samford,Alabama,SECN+
11/19/2025,8:00 PM,Butler,Indiana,B1G+
