FlashLive Team Names - NCAAW
Team Name
Alabama A&M
Alcorn State
Apprentice Builders
BYU
Chicago State
Coastal Carolina
Delaware State
East Texas A&M Lions
Fairfield
Fairleigh Dickinson
Felician
Hampton
Harris-Stowe
IU Indy
Iowa State
Kansas
Kentucky State
Lindenwood
Longwood
Loyola Marymount
MUW Owls
Md.-East. Shore
Morris College
New Orleans
New Paltz
North Florida
Northwest Eagles
Northwestern
Notre Dame
Oakland
Oklahoma State
Palm Beach Atlantic
Randolph
San Diego
San Francisco
Seattle U Redhawks
South Carolina State
Southern Jaguars
Talladega
Texas A&M
Texas A&M-CC
Tulsa Golden Hurricane
UC Irvine Anteaters
UMKC
UNC Greensboro
UNLV Lady Rebels
Utah Valleyolverines W
VCU
Villanova
Wagner
Washington State
Western Kentucky
Winthrop
Wisconsin Badgers
