Date,Time,Away Team,Home Team,Channel
11/7/2025,8:00 pm,Orlando Pride,Seattle Reign,Amazon Prime Video
11/8/2025,12:00 pm,Washington Spirit,Racing Louisville FC,CBS
11/9/2025,12:30 pm,Kansas City Current,NJ/NY Gotham FC,ABC
11/9/2025,3:00 pm,Portland Thorns,San Diego Wave,ABC
11/22/2025,8:00 pm,NWSL Championship Team 1,NWSL Championship Team 2,CBS

